type,word
base,alex
base,bob
base,mia
base,leo
base,sam
base,noah
base,ava
base,max
base,eva
base,ryan
base,luna
base,zoe
base,jack
base,iris
base,nina
base,tina
base,finn
base,kira
base,josh
base,mila
suffix,love
suffix,XX
suffix,best
suffix,king
suffix,star
suffix,pro
suffix,zone
suffix,hero
suffix,boss
suffix,nova
suffix,ace
suffix,ice
suffix,soul
suffix,edge
suffix,shift
suffix,drift
suffix,flare
suffix,flash
suffix,prime
suffix,void
title_adj,Dark
title_adj,Hidden
title_adj,Silent
title_adj,Lost
title_adj,Last
title_adj,First
title_adj,Secret
title_adj,Broken
title_adj,Golden
title_adj,Final
title_adj,Frozen
title_adj,Crimson
title_adj,Midnight
title_adj,Neon
title_adj,Shadowed
title_adj,Forgotten
title_adj,Burning
title_adj,Shattered
title_adj,Eternal
title_adj,Vanishing
title_noun,Night
title_noun,Memory
title_noun,City
title_noun,Empire
title_noun,Shadow
title_noun,Journey
title_noun,Promise
title_noun,Legend
title_noun,Dream
title_noun,Storm
title_noun,Legacy
title_noun,Code
title_noun,Signal
title_noun,Horizon
title_noun,Motion
title_noun,Whisper
title_noun,Reflection
title_noun,Eclipse
title_noun,Abyss
title_noun,Odyssey
title_noun,Mirage
title_noun,Ritual
title_noun,Serpent
title_noun,Canvas
title_noun,Whirlpool
title_noun,Echo
title_noun,Voyage
title_noun,Sanctum
title_noun,Phantom
title_noun,Requiem
genre,Action
genre,Drama
genre,Comedy
genre,Thriller
genre,Sci-Fi
genre,Fantasy
genre,Romance
genre,Horror
genre,Animation
genre,Mystery
genre,Adventure
genre,Noir
