title,genre,year,totalRating,ratingCount
Shadowed Echo,Romance,1967,5.9,1
Vanishing Silent Code II,Comedy,1991,2.2,1
Code: Crimson Serpent III,Drama,1888,3.1,1
The Empire of Last Abyss IV,Action,1892,9.5,1
Eclipse: Silent Night V,Adventure,1930,5.2,1
Frozen Neon Journey VI,Sci-Fi,1918,1.1,1
Echo: Neon Ritual VII,Noir,1956,9.8,1
The Memory of Burning Sanctum,Noir,1997,7.9,1
Hidden Final Empire II,Comedy,1889,2.6,1
Journey: Crimson Echo III,Thriller,1993,8.3,1
Secret Burning Requiem IV,Adventure,2010,5.4,1
Neon Reflection V,Adventure,1976,2.7,1
Whirlpool: Frozen Signal VI,Sci-Fi,1924,7.9,1
Motion: Midnight Journey VII,Mystery,1991,3.5,1
Frozen Whisper,Adventure,1922,0.7,1
The Echo of Final Whirlpool II,Action,1923,3.4,1
Burning Requiem III,Romance,2006,6.4,1
The Dream of Dark Signal IV,Mystery,2007,4.3,1
Reflection: Midnight Memory V,Mystery,1950,4.4,1
The Legend of Silent Canvas VI,Romance,2006,2.1,1
The Requiem of Lost Mirage VII,Animation,1896,8.2,1
The Code of Broken Signal,Animation,1998,9.6,1
The Whisper of Eternal Whirlpool II,Comedy,1909,3.3,1
Burning Shadowed Motion III,Drama,1905,1.2,1
Requiem: Last Storm IV,Sci-Fi,1952,4,1
The Legend of Golden Reflection V,Drama,1974,3.5,1
Lost Promise VI,Comedy,1894,2.9,1
City: Midnight Memory VII,Noir,1937,7.6,1
Legacy: Golden Requiem,Mystery,1989,4.2,1
Code: Last Abyss II,Animation,1981,6.2,1
Hidden Memory III,Adventure,1905,5.5,1
Abyss: Dark Echo IV,Sci-Fi,1996,7.8,1
Requiem: Midnight Promise V,Comedy,1890,6.2,1
Hidden Echo VI,Action,1929,0.4,1
Midnight Eternal Mirage VII,Animation,1970,7.3,1
The Phantom of Eternal Serpent,Action,2003,10,1
Legend: Lost Legend II,Romance,1926,5.9,1
Phantom: Broken Abyss III,Mystery,1933,6.1,1
Crimson Serpent IV,Mystery,1956,4.3,1
Vanishing Frozen Motion V,Sci-Fi,1994,0.6,1
Frozen Lost Night VI,Comedy,1924,3.7,1
The Empire of Midnight Storm VII,Action,1924,5.1,1
Dark Odyssey,Romance,2018,7.9,1
The Canvas of Secret Ritual II,Mystery,2020,8.9,1
The Horizon of Final Whirlpool III,Noir,1940,7.6,1
Silent Shattered City IV,Horror,2001,2.9,1
Shadowed Vanishing Code V,Noir,2019,5.1,1
Abyss: Vanishing Abyss VI,Comedy,1931,8,1
The Serpent of Hidden Journey VII,Fantasy,1985,9,1
The Echo of Broken Serpent,Mystery,1981,5.3,1
Burning Whirlpool II,Animation,1914,5,1
Burning Storm III,Drama,1931,4.8,1
Legend: Golden Sanctum IV,Comedy,2011,1.6,1
Frozen Sanctum V,Romance,1990,8.9,1
Broken Forgotten Motion VI,Comedy,1931,8.1,1
The Whirlpool of Silent Serpent VII,Thriller,1961,9.9,1
Vanishing Dream,Action,1956,9.1,1
Final Horizon II,Horror,1940,3.6,1
Broken Signal III,Romance,1898,4.8,1
The Empire of Last Voyage IV,Action,1979,0.3,1
The Phantom of Midnight Memory V,Fantasy,1904,6.6,1
Odyssey: Vanishing Memory VI,Sci-Fi,1901,5.5,1
Eternal Vanishing Mirage VII,Adventure,1943,6.2,1
Silent Storm,Romance,1968,3,1
Crimson Eternal Legacy II,Comedy,1959,9.9,1
Golden Shattered Journey III,Horror,1902,1.4,1
The Echo of Silent Motion IV,Animation,1989,0.7,1
Mirage: Last Eclipse V,Sci-Fi,1993,5.1,1
Shattered Last Eclipse VI,Comedy,1973,4.9,1
Lost Storm VII,Drama,1962,0,1
Night: Dark Sanctum,Action,1991,5.6,1
Secret Dream II,Action,2017,8.1,1
Broken Empire III,Comedy,2021,2.1,1
Secret First Odyssey IV,Horror,1995,2,1
Dark Last Reflection V,Fantasy,1985,9,1
Shadowed Phantom VI,Fantasy,1993,10,1
Vanishing Night VII,Action,1940,6.6,1
