userName,movieTitle,userRating
User36,Code: Forgotten Legend 78,7.25913
User41,Final Reflection 68,4.93552
User2,The Phantom of Golden Ritual 39,0.119919
User50,Last Burning City 27,2.16184
User22,The Serpent of Burning Odyssey 47,6.28345
User31,Phantom: Dark Motion 38,9.516
User5,Legend: Forgotten Abyss 6,9.27077
User24,Distant Radiant Ritual 18,8.93592
User21,Legacy: Midnight Legend 70,0.0551971
User7,Odyssey: Bleak Echo 36,7.01938
User32,The Storm of Broken Whirlpool 59,5.59228
User42,Phantom: Silver Whisper 45,5.44758
User11,The Ritual of Golden City 28,5.93375
User7,Legend: Forgotten Abyss 6,9.09954
User9,Broken Mirage 56,9.9683
User21,The Storm of Radiant Memory 42,1.87528
User45,Code: Broken Echo 80,6.57932
User35,Odyssey: Last Whirlpool 22,9.53876
User49,Burning Dark Code 99,8.55214
User40,The Legacy of Raging Memory 91,3.51946
User4,Radiant Hollow Eclipse 71,4.95108
User12,The Whisper of Sacred Promise 9,2.92946
User27,Burning Echo 37,8.45805
User15,Burning Legend 94,4.47624
User45,Hollow Journey 5,8.04471
User18,Phantom: Dark Motion 38,1.24069
User32,Shadowed Lost Code 33,6.8182
User41,Dream: Radiant Promise 60,5.46496
User46,The Requiem of Vanishing Voyage 41,9.23189
User20,Shadow: Sacred Eclipse 82,8.20834
User21,Desolate Midnight Whirlpool 76,6.12875
User1,Canvas: Hollow Reflection 8,4.88148
User33,Hidden Secret Phantom 19,0.106747
User41,The Voyage of Hollow Legend 43,0.00194785
User4,The Requiem of Vanishing Voyage 41,7.57084
User25,The Odyssey of Shadowed Serpent 86,0.272525
User6,Hollow Journey 5,3.16465
User49,Whispering Memory 63,3.39517
User29,The Legend of Crimson Memory 29,7.44748
User41,Sacred Vanishing Eclipse 3,4.04027
User35,The Signal of Frozen Empire 48,3.06531
User27,Whispering Memory 63,9.63449
User35,Bleak Radiant Phantom 24,9.94424
User39,Shattered Desolate Night 13,8.31171
User22,Forgotten Dream 73,9.83413
User30,The Requiem of Whispering Phantom 54,5.0253
User42,Shadow: Sacred Eclipse 82,7.4715
User28,The Serpent of Burning Odyssey 47,2.1673
User37,Last Burning City 27,9.52185
User31,Sacred Vanishing Eclipse 3,0.627718
User30,Phantom: Dark Motion 38,3.932
User21,Silver Dream 11,4.89734
User23,The Whisper of Sacred Promise 9,5.58442
User17,Legacy: Midnight Legend 70,0.767522
User14,The Ritual of Golden City 28,6.4642
User32,The Night of Vanishing Shadow 84,1.42365
User19,The Memory of Desolate Night 31,1.26225
User38,Burning Legend 94,6.0795
User41,The Reflection of Silent Legend 93,1.39993
User16,The Memory of Desolate Night 31,0.643786
User5,The Requiem of Vanishing Voyage 41,7.79516
User22,The Echo of Golden Canvas 66,8.73314
User16,The Night of Vanishing Shadow 84,1.87667
User5,Radiant Radiant Journey 1,0.0905612
User42,First Storm 97,8.21554
User2,The Mirage of Secret Motion 53,0.0532138
User18,The Reflection of Silent Legend 93,5.71886
User42,The Eclipse of First Empire 15,9.97897
User10,Crimson Abyss 98,3.54251
User17,Desolate Serpent 20,2.61593
User44,The Phantom of Eternal Whisper 65,5.93705
User1,Canvas: Distant City 17,3.43311
User23,Motion: Frozen Voyage 55,7.05586
User49,Final Eclipse 62,8.78938
User7,Phantom: Dark Motion 38,1.07468
User32,Phantom: Dark Motion 38,6.25787
User9,The Mirage of Shadowed Signal 72,1.8526
User10,Last Burning City 27,7.70332
User7,Odyssey: Last Whirlpool 22,7.14136
User10,Desolate Midnight Whirlpool 76,4.90147
User36,Last Raging Voyage 4,5.27918
User14,Whispering Memory 63,2.86746
User15,The Legacy of Raging Memory 91,3.92922
User3,Canvas: Distant City 17,5.17639
User31,Burning Dark Code 99,5.75552
User22,First Storm 97,3.62802
User19,Whispering Memory 63,8.66333
User1,Horizon: Secret Horizon 75,4.92538
User42,Neon Legend 34,0.511075
User7,Canvas: Distant City 17,7.95945
User36,The Serpent of Burning Odyssey 47,3.19293
User48,Burning Legend 94,5.38663
User27,Empire: Golden Storm 87,2.46015
User9,Distant Radiant Ritual 18,6.49566
User35,The Odyssey of Distant Whirlpool 64,9.92863
User16,Lost Sanctum 95,5.85503
User43,The Odyssey of Burning Phantom 100,8.03036
User2,The Legend of Crimson Memory 29,1.86618
User49,The Reflection of Silent Legend 93,7.03279
User3,Motion: Frozen Voyage 55,0.924
User12,Whispering Memory 63,2.39123
User11,Raging Legend 85,6.26678
User17,The Odyssey of Burning Phantom 100,5.21879
User27,Final Reflection 68,0.729325
User43,Phantom: Dark Motion 38,1.49087
User46,Neon Legend 34,5.92081
User10,Radiant Neon Canvas 40,9.33918
User19,The Mirage of Shadowed Signal 72,2.33818
User9,Hidden Abyss 16,6.21717
User34,Cursed Reflection 67,9.03135
User9,Golden Reflection 52,1.09222
User29,The Signal of Frozen Empire 48,9.56282
User15,Dream: Radiant Promise 60,6.29538
User43,Crimson Memory 7,5.37547
User8,Last Burning City 27,3.44867
User40,Motion: Frozen Voyage 55,2.8383
User34,Silver Dream 11,3.8868
User23,Canvas: Distant City 17,2.87177
User2,Canvas: Distant City 17,3.04635
User9,Final Reflection 68,2.62168
User46,The Signal of Frozen Empire 48,2.60753
User5,Phantom: Dark Motion 38,0.198077
User45,The Promise of Crimson Legend 44,0.0544891
User33,The Serpent of Silent Mirage 32,4.24763
User37,Dream: Radiant Promise 60,6.03003
User36,The Canvas of Silver Abyss 58,2.23988
User10,Cursed Serpent 89,9.91869
User36,Desolate Serpent 20,6.20183
User14,Frozen Dark Serpent 10,4.60926
User37,Neon Legend 34,1.21031
User23,Golden Shattered Voyage 14,8.83588
User8,The Echo of Golden Canvas 66,3.22739
User43,Cursed Reflection 67,9.53342
User8,Requiem: Distant Dream 57,1.70836
User33,The Phantom of Eternal Whisper 65,8.95088
User3,The Mirage of Shadowed Signal 72,2.44255
User17,The Odyssey of Phantom Shadow 30,3.9334
User33,Cursed Serpent 89,5.14165
User14,Lost Sanctum 95,1.06534
User22,Whirlpool: Shadowed Abyss 90,3.67254
User46,Cursed Reflection 67,9.98002
User30,The Storm of Radiant Memory 42,8.73838
User13,Odyssey: Last Whirlpool 22,2.36065
User17,Burning Legend 94,1.11276
User16,Odyssey: Last Whirlpool 22,6.08417
User6,Odyssey: Last Whirlpool 22,8.64112
User43,Frozen City 50,4.18514
User7,The Promise of Crimson Legend 44,5.78369
User20,First Storm 97,5.8491
User39,Cursed Serpent 89,5.2195
User37,Golden Shattered Voyage 14,5.60913
User30,Distant Night 96,9.75998
User12,Broken Hollow Signal 92,0.0345193
User34,Distant Radiant Ritual 18,9.92708
User38,Forgotten Dream 73,4.89043
User35,Crimson Shattered Empire 69,5.87988
User40,Empire: Golden Storm 87,5.48416
User20,The Serpent of Burning Odyssey 47,0.25728
User21,The Voyage of Bleak Storm 12,0.509075
User34,Neon Legend 34,7.02623
User27,The Reflection of Silent Legend 93,4.27315
User8,Broken Mirage 56,8.59467
User24,The Serpent of Burning Odyssey 47,3.85156
User25,Desolate Midnight Whirlpool 76,7.2589
User39,Frozen Voyage 49,6.92698
User42,Odyssey: Bleak Echo 36,3.87145
User26,Cursed Reflection 67,1.07671
User1,The Legacy of Raging Memory 91,7.09113
User46,The Eclipse of First Empire 15,5.8079
User17,Forgotten Dream 73,9.48292
User28,Canvas: Distant City 17,5.61019
User22,Radiant Abyss 79,9.1353
User12,Dark Phantom Memory 51,4.60431
User20,Crimson Shattered Empire 69,3.51581
User11,Final Eclipse 62,9.53705
User28,Forgotten Dream 73,1.48829
User25,The Whisper of Sacred Promise 9,0.562408
User29,Requiem: Silent Whisper 61,6.25917
User44,The Legacy of Raging Memory 91,6.78775
User43,Dream: Radiant Promise 60,3.68207
User20,Odyssey: Bleak Echo 36,6.79606
User38,The Voyage of Bleak Legacy 74,6.75527
User14,The Eclipse of First Empire 15,1.35762
User33,Lost Sanctum 95,0.324116
User39,The Storm of Broken Whirlpool 59,6.52158
User36,Burning Echo 37,9.59167
User24,The Reflection of Silent Legend 93,3.62489
User14,Final Reflection 68,9.2907
User43,The Mirage of Shadowed Signal 72,6.8312
User31,Distant Radiant Ritual 18,3.70963
User14,The Storm of Broken Whirlpool 59,5.4568
User45,Phantom: Silver Whisper 45,6.84657
User18,The Storm of Broken Whirlpool 59,5.10703
User9,The Eclipse of First Empire 15,7.96228
User11,The Night of Vanishing Shadow 84,5.58721
User18,Silent Cursed Odyssey 23,7.4599
User28,Burning Legend 94,1.51698
User35,Burning Dark Code 99,3.29663
User41,Burning Legend 94,4.85996
User14,Horizon: Secret Horizon 75,0.295461
